# batch      l2_tst    l2_trn    l2_e_tst  l2_e_trn    l2_f_tst  l2_f_trn         lr
  19800    1.43e+00  1.26e+00    1.04e-02  1.74e-02    4.52e-02  3.97e-02    5.0e-03
  19900    1.58e+00  1.58e+00    3.14e-03  3.52e-03    5.00e-02  5.01e-02    5.0e-03
  20000    2.21e+00  1.80e+00    1.76e-02  1.93e-02    9.30e-02  7.59e-02    2.8e-03
  20100    6.88e-01  6.81e-01    4.11e-03  3.54e-03    2.90e-02  2.87e-02    2.8e-03
  20200    6.28e-01  7.80e-01    4.21e-03  3.04e-03    2.65e-02  3.29e-02    2.8e-03
  20300    6.35e-01  5.74e-01    3.94e-03  4.83e-03    2.68e-02  2.42e-02    2.8e-03
  20400    7.31e-01  5.73e-01    2.24e-03  2.91e-03    3.08e-02  2.42e-02    2.8e-03
  20500    6.47e-01  6.44e-01    2.32e-03  2.61e-03    2.73e-02  2.71e-02    2.8e-03
  20600    6.31e-01  5.24e-01    3.68e-03  3.67e-03    2.66e-02  2.21e-02    2.8e-03
  20700    6.09e-01  6.00e-01    3.67e-03  2.91e-03    2.57e-02  2.53e-02    2.8e-03
  20800    6.27e-01  6.11e-01    2.72e-03  3.58e-03    2.64e-02  2.57e-02    2.8e-03
  20900    6.26e-01  6.62e-01    3.24e-03  3.76e-03    2.64e-02  2.79e-02    2.8e-03
  21000    5.58e-01  5.33e-01    3.57e-03  3.41e-03    2.35e-02  2.25e-02    2.8e-03
  21100    6.07e-01  6.22e-01    5.53e-03  4.51e-03    2.56e-02  2.62e-02    2.8e-03
  21200    6.53e-01  6.24e-01    4.17e-03  5.55e-03    2.75e-02  2.63e-02    2.8e-03
  21300    5.88e-01  6.72e-01    3.78e-03  5.08e-03    2.48e-02  2.83e-02    2.8e-03
  21400    6.61e-01  6.06e-01    4.27e-03  4.25e-03    2.78e-02  2.56e-02    2.8e-03
  21500    6.90e-01  7.05e-01    3.85e-03  4.50e-03    2.91e-02  2.97e-02    2.8e-03
  21600    6.76e-01  5.87e-01    4.01e-03  4.63e-03    2.85e-02  2.47e-02    2.8e-03
  21700    7.64e-01  6.87e-01    4.52e-03  3.50e-03    3.22e-02  2.90e-02    2.8e-03
  21800    7.78e-01  6.00e-01    4.22e-03  6.24e-03    3.28e-02  2.53e-02    2.8e-03
  21900    8.28e-01  7.46e-01    8.71e-03  6.05e-03    3.49e-02  3.15e-02    2.8e-03
  22000    7.91e-01  8.12e-01    6.38e-03  7.83e-03    3.33e-02  3.42e-02    2.8e-03
  22100    5.99e-01  5.95e-01    4.56e-03  5.92e-03    2.53e-02  2.51e-02    2.8e-03
  22200    1.71e+00  1.58e+00    6.22e-03  5.31e-03    7.20e-02  6.67e-02    2.8e-03
  22300    1.00e+00  8.83e-01    5.44e-03  7.22e-03    4.23e-02  3.72e-02    2.8e-03
  22400    6.86e-01  5.56e-01    6.90e-03  6.49e-03    2.89e-02  2.34e-02    2.8e-03
  22500    9.63e-01  8.78e-01    7.71e-03  8.41e-03    4.06e-02  3.70e-02    2.8e-03
